2007/01/02,0.640,0.640,0.640,0.640,0,0.00
2007/01/03,0.640,0.640,0.640,0.640,0,0.00
2007/01/04,0.640,0.640,0.640,0.640,0,0.00
2007/01/05,0.640,0.640,0.640,0.640,0,0.00
2007/01/08,0.640,0.640,0.640,0.640,0,0.00
2007/01/09,0.640,0.640,0.640,0.640,0,0.00
2007/01/10,0.640,0.640,0.640,0.640,0,0.00
2007/01/11,0.640,0.640,0.640,0.640,0,0.00
2007/01/12,0.640,0.640,0.640,0.640,0,0.00
2007/01/15,0.640,0.640,0.640,0.640,0,0.00
2007/01/16,0.640,0.640,0.640,0.640,0,0.00
2007/01/17,0.640,0.640,0.640,0.640,0,0.00
2007/01/18,0.640,0.640,0.640,0.640,0,0.00
2007/01/19,0.640,0.640,0.640,0.640,0,0.00
2007/01/22,0.640,0.640,0.640,0.640,0,0.00
2007/01/23,0.640,0.640,0.640,0.640,0,0.00
2007/01/24,0.640,0.640,0.640,0.640,0,0.00
2007/01/25,0.640,0.640,0.640,0.640,0,0.00
2007/01/26,0.640,0.640,0.640,0.640,0,0.00
2007/01/29,0.640,0.640,0.640,0.640,0,0.00
2007/01/30,0.640,0.640,0.640,0.640,0,0.00
2007/01/31,0.640,0.640,0.640,0.640,0,0.00
2007/02/01,0.640,0.640,0.640,0.640,0,0.00
2007/02/02,0.640,0.640,0.640,0.640,0,0.00
2007/02/05,0.640,0.640,0.640,0.640,0,0.00
2007/02/06,0.640,0.640,0.640,0.640,0,0.00
2007/02/07,0.640,0.640,0.640,0.640,0,0.00
2007/02/08,0.640,0.640,0.640,0.640,0,0.00
2007/02/09,0.640,0.640,0.640,0.640,0,0.00
2007/02/12,0.640,0.640,0.640,0.640,0,0.00
2007/02/13,0.640,0.640,0.640,0.640,0,0.00
2007/02/14,0.640,0.640,0.640,0.640,0,0.00
2007/02/15,0.640,0.640,0.640,0.640,0,0.00
2007/02/16,0.640,0.640,0.640,0.640,0,0.00
2007/02/21,0.640,0.640,0.640,0.640,0,0.00
2007/02/22,0.640,0.640,0.640,0.640,0,0.00
2007/02/23,0.640,0.640,0.640,0.640,0,0.00
2007/02/26,0.640,0.640,0.640,0.640,0,0.00
2007/02/27,0.640,0.640,0.640,0.640,0,0.00
2007/02/28,0.640,0.640,0.640,0.640,0,0.00
2007/03/01,0.640,0.640,0.640,0.640,0,0.00
2007/03/02,0.640,0.640,0.640,0.640,0,0.00
2007/03/05,0.640,0.640,0.640,0.640,0,0.00
2007/03/06,0.640,0.640,0.640,0.640,0,0.00
2007/03/07,0.640,0.640,0.640,0.640,0,0.00
2007/03/08,0.640,0.640,0.640,0.640,0,0.00
2007/03/09,0.640,0.640,0.640,0.640,0,0.00
2007/03/12,0.640,0.640,0.640,0.640,0,0.00
2007/03/13,0.640,0.640,0.640,0.640,0,0.00
2007/03/14,0.640,0.640,0.640,0.640,0,0.00
2007/03/15,0.640,0.640,0.640,0.640,0,0.00
2007/03/16,0.640,0.640,0.640,0.640,0,0.00
2007/03/19,0.640,0.640,0.640,0.640,0,0.00
2007/03/20,0.640,0.640,0.640,0.640,0,0.00
2007/03/21,0.640,0.640,0.640,0.640,0,0.00
2007/03/22,0.640,0.640,0.640,0.640,0,0.00
2007/03/23,0.640,0.640,0.640,0.640,0,0.00
2007/03/26,0.640,0.640,0.640,0.640,0,0.00
2007/03/27,0.640,0.640,0.640,0.640,0,0.00
2007/03/28,0.640,0.640,0.640,0.640,0,0.00
2007/03/29,0.640,0.640,0.640,0.640,0,0.00
2007/03/30,0.640,0.640,0.640,0.640,0,0.00
2007/04/02,0.640,0.640,0.640,0.640,0,0.00
2007/04/03,0.640,0.640,0.640,0.640,0,0.00
2007/04/04,0.640,0.640,0.640,0.640,0,0.00
2007/04/10,0.640,0.640,0.640,0.640,0,0.00
2007/04/11,0.640,0.640,0.640,0.640,0,0.00
2007/04/12,0.640,0.640,0.640,0.640,0,0.00
2007/04/13,0.640,0.640,0.640,0.640,0,0.00
2007/04/16,0.640,0.640,0.640,0.640,0,0.00
2007/04/17,0.640,0.640,0.640,0.640,0,0.00
2007/04/18,0.640,0.640,0.640,0.640,0,0.00
2007/04/19,0.640,0.640,0.640,0.640,0,0.00
2007/04/20,0.640,0.640,0.640,0.640,0,0.00
2007/04/23,0.640,0.640,0.640,0.640,0,0.00
2007/04/24,0.640,0.640,0.640,0.640,0,0.00
2007/04/25,0.640,0.640,0.640,0.640,0,0.00
2007/04/26,0.640,0.640,0.640,0.640,0,0.00
2007/04/27,0.640,0.640,0.640,0.640,0,0.00
2007/04/30,0.640,0.640,0.640,0.640,0,0.00
2007/05/02,0.640,0.640,0.640,0.640,0,0.00
2007/05/03,0.640,0.640,0.640,0.640,0,0.00
2007/05/04,0.640,0.640,0.640,0.640,0,0.00
2007/05/07,0.640,0.640,0.640,0.640,0,0.00
2007/05/08,0.640,0.640,0.640,0.640,0,0.00
2007/05/09,0.640,0.640,0.640,0.640,0,0.00
2007/05/10,0.640,0.640,0.640,0.640,0,0.00
2007/05/11,0.640,0.640,0.640,0.640,0,0.00
2007/05/14,0.640,0.640,0.640,0.640,0,0.00
2007/05/15,0.640,0.640,0.640,0.640,0,0.00
2007/05/16,0.640,0.640,0.640,0.640,0,0.00
2007/05/17,0.640,0.640,0.640,0.640,0,0.00
2007/05/18,0.640,0.640,0.640,0.640,0,0.00
2007/05/21,0.640,0.640,0.640,0.640,0,0.00
2007/05/22,0.640,0.640,0.640,0.640,0,0.00
2007/05/23,0.640,0.640,0.640,0.640,0,0.00
2007/05/25,0.640,0.640,0.640,0.640,0,0.00
2007/05/28,0.640,0.640,0.640,0.640,0,0.00
2007/05/29,0.640,0.640,0.640,0.640,0,0.00
2007/05/30,0.640,0.640,0.640,0.640,0,0.00
2007/05/31,0.640,0.640,0.640,0.640,0,0.00
2007/06/01,0.640,0.640,0.640,0.640,0,0.00
2007/06/04,0.640,0.640,0.640,0.640,0,0.00
2007/06/05,0.640,0.640,0.640,0.640,0,0.00
2007/06/06,0.640,0.640,0.640,0.640,0,0.00
2007/06/07,0.640,0.640,0.640,0.640,0,0.00
2007/06/08,0.640,0.640,0.640,0.640,0,0.00
2007/06/11,0.640,0.640,0.640,0.640,0,0.00
2007/06/12,0.640,0.640,0.640,0.640,0,0.00
2007/06/13,0.640,0.640,0.640,0.640,0,0.00
2007/06/14,0.640,0.640,0.640,0.640,0,0.00
2007/06/15,0.640,0.640,0.640,0.640,0,0.00
2007/06/18,0.640,0.640,0.640,0.640,0,0.00
2007/06/20,0.640,0.640,0.640,0.640,0,0.00
2007/06/21,0.640,0.640,0.640,0.640,0,0.00
2007/06/22,0.640,0.640,0.640,0.640,0,0.00
2007/06/25,0.640,0.640,0.640,0.640,0,0.00
2007/06/26,0.640,0.640,0.640,0.640,0,0.00
2007/06/27,0.640,0.640,0.640,0.640,0,0.00
2007/06/28,0.640,0.640,0.640,0.640,0,0.00
2007/06/29,0.640,0.640,0.640,0.640,0,0.00
2007/07/03,0.640,0.640,0.640,0.640,0,0.00
2007/07/04,0.640,0.640,0.640,0.640,0,0.00
2007/07/05,0.640,0.640,0.640,0.640,0,0.00
2007/07/06,0.640,0.640,0.640,0.640,0,0.00
2007/07/09,0.640,0.640,0.640,0.640,0,0.00
2007/07/10,0.640,0.640,0.640,0.640,0,0.00
2007/07/11,0.640,0.640,0.640,0.640,0,0.00
2007/07/12,0.640,0.640,0.640,0.640,0,0.00
2007/07/13,0.640,0.640,0.640,0.640,0,0.00
2007/07/16,0.640,0.640,0.640,0.640,0,0.00
2007/07/17,0.640,0.640,0.640,0.640,0,0.00
